название,описание,изображение,цена
Сотовый телефон Xiaomi Mi 10T Lite 6/128GB пляж розового золота,"экран: 6.67"" (2400x1080) 120 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 4820 мА·ч, процессор:...",/images/product/90126/1615978865_73950300.jpg,27590 сом
Сотовый телефон Realme C3 2/32GB красный,"Android 10, поддержка двух SIM-карт, экран 6.52"", разрешение 1600x720, 3 камеры: 12 МП, 2 МП, 2 МП, процессор MediaTek Helio G70, память 32 ГБ, слот для карты памяти, 3G, 4G...",/images/product/90894/1618065318_95296700.jpg,10020 сом
Сотовый телефон Samsung Galaxy Note 20 Ultra 5G 12/256GB бронзовый,"смартфон на платформе Android, поддержка двух SIM-карт, экран 6.9"", разрешение 3088x1440, 4 камеры: широкоугольная (108 МП), сверхширокоугольная, телефото, процессор Qualcomm Snapdragon 865, память 256 ГБ, слот для карты памяти, 3G,...",/images/product/95758/1627808340_15191000.jpg,78790 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB синий,"смартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...",/images/product/97294/1630854577_55077100.jpg,15540 сом
Сотовый телефон Xiaomi Redmi 10 4/64GB белый,"смартфон на платформе Android 11, поддержка двух SIM-карт, экран 6.5"", разрешение 2400x1080, четыре камеры 50 МП/8 МП/2 МП/2 МП, автофокус, память 64 ГБ, слот для карты памяти, 3G, 4G LTE,...",/images/product/97295/1630854615_71898900.jpg,15790 сом
Сотовый телефон Apple iPhone 12 64GB красный,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 64 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85008/1602712366_94500700.jpg,66390 сом
Сотовый телефон Apple iPhone 12 128GB красный,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85009/1602712555_32497700.jpg,74540 сом
Сотовый телефон Apple iPhone 12 256GB красный,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85010/1602712609_64128700.jpg,82690 сом
Сотовый телефон Samsung Galaxy A22 (2021) 6/128GB (SM-A225F/DS) белый,"экран: 6.4"" (1600x720) 90 Гц, оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",/images/product/95763/1627818344_20472600.jpg,19020 сом
Сотовый телефон Apple iPhone 12 128GB синий,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85012/1602712803_58712000.jpg,74540 сом
Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) мятный,"экран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",/images/product/95764/1627818418_68855100.jpg,18080 сом
Сотовый телефон Apple iPhone 12 128GB зеленый,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85013/1602712965_00270200.jpg,74540 сом
Сотовый телефон Samsung Galaxy A22 (2021) 128GB (SM-A225F/DS) белый,"экран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",/images/product/95765/1627818457_91066900.jpg,18080 сом
Сотовый телефон Apple iPhone 12 128GB белый,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 128 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85014/1602713218_21147800.jpg,74540 сом
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) мятный,"экран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",/images/product/95766/1627818742_07122600.jpg,16890 сом
Сотовый телефон Apple iPhone 12 64GB белый,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 64 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85015/1602713414_32629100.jpg,66390 сом
Сотовый телефон Samsung Galaxy A22 (2021) 64GB (SM-A225F/DS) белый,"экран: 6.4"" (1600x720) 90 Гц, оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, SIM-карты:...",/images/product/95767/1627818796_21631200.jpg,16890 сом
Сотовый телефон Apple iPhone 12 256GB белый,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 256 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85016/1602713550_49563500.jpg,78020 сом
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB белый,"экран: 6.43"" (2400x1080), оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",/images/product/93208/1622209985_27205300.jpg,20290 сом
Сотовый телефон Realme Narzo 30A 4/64GB черный,"экран: 6.5"" (1600x720), оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, двойная камера: 13 + 2 МП, аккумулятор: 6000 мА·ч, процессор: MediaTek Helio G85, SIM-карты: 2 (nano...",/images/product/95768/1627821147_86352600.jpg,12490 сом
Сотовый телефон Samsung Galaxy A03s (2021) 4/64GB (SM-A037F/DS) черный,"экран: 6.5"" (1600x720), встроенная память: 64 ГБ, оперативная память: 4 ГБ, 3 камеры: 13 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio P35 (MT6765), SIM-карты: 2 (nano...",/images/product/98072/1632163066_89827900.jpg,12660 сом
Сотовый телефон Apple iPhone 12 64GB синий,"iOS 14, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, двойная камера: сверхширокоугольная (12 МП), широкоугольная, процессор Apple A14 Bionic, память 64 ГБ, без слота для карт памяти, 3G, 4G...",/images/product/85017/1602713778_37002600.jpg,66390 сом
Сотовый телефон Xiaomi Redmi Note 10S 6/128GB черный,"экран: 6.43"" (2400x1080), оперативная память: 6 ГБ, память: 128 ГБ, слот для карты памяти, 4 камеры: 64 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek Helio...",/images/product/93209/1622210076_99878100.jpg,20290 сом
