название,описание,изображение,цена
Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB мятный,"экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",/images/product/99875/1635943676_15629500.jpg,28530 сом
Сотовый телефон Xiaomi Poco X3 Pro 8/256GB черный,"экран: 6.67"" (2400x1080) 120 Гц, оперативная память: 8 ГБ, память: 256 ГБ, слот для карты памяти, 4 камеры: 48 МП, 8 МП, 2 МП, 2 МП, аккумулятор: 5160 мА·ч, процессор:...",/images/product/92970/1621833636_47952900.jpg,22750 сом
Сотовый телефон Apple iPhone 11 64GB фиолетовый,"смартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",/images/product/72491/72491.jpg,55520 сом
Сотовый телефон Apple iPhone 11 128GB фиолетовый,"смартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 128 Гб, без слота для карт памяти, 3G, 4G LTE,...",/images/product/72492/72492.jpg,59010 сом
Сотовый телефон Itel it5250 голубой,"экран: 2.4"" (320×240), память: 32 МБ, слот для карты памяти, камера: 0.10 МП, аккумулятор: 1900 мА·ч, SIM-карты: 2 (обычная), беспроводные интерфейсы: Bluetooth, вес: 96 г",/images/product/94509/1624296771_33946700.jpg,1870 сом
Сотовый телефон Xiaomi Poco M3 Pro 5G 4/64GB желтый,"экран: 6.5"" (2400×1080), оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 3 камеры: 48 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek MT6833 Dimensity 700...",/images/product/95021/1625596396_19133600.jpg,15960 сом
Сотовый телефон Apple iPhone 11 64GB зеленый,"смартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",/images/product/72494/72494.jpg,55520 сом
Сотовый телефон Itel it5022 черный,"экран: 2.4"" (320×240), память: 4 МБ, слот для карты памяти, камера: 0.10 МП, аккумулятор: 1000 мА·ч, SIM-карты: 2, беспроводные интерфейсы: Bluetooth, вес: 83 г",/images/product/94510/1624297389_41403600.jpg,1700 сом
Сотовый телефон Xiaomi Poco M3 Pro 5G 4/64GB синий,"экран: 6.5"" (2400×1080), оперативная память: 4 ГБ, память: 64 ГБ, слот для карты памяти, 3 камеры: 48 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek MT6833 Dimensity 700...",/images/product/95022/1625596457_51859000.jpg,15960 сом
Сотовый телефон Apple iPhone 11 128GB зеленый,"смартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 128 Гб, без слота для карт памяти, 3G, 4G LTE,...",/images/product/72495/72495.jpg,59010 сом
Сотовый телефон Xiaomi Mi 11 Lite 8/128GB синий,"экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",/images/product/99887/1635940633_65931300.jpg,28020 сом
Сотовый телефон Xiaomi Redmi Note 9 Pro 6/128GB белый,"смартфон на платформе Android, поддержка двух SIM-карт, экран 6.67"", разрешение 2400x1080, четыре камеры 64 МП/8 МП/5 МП/2 МП, автофокус, память 128 ГБ, слот для карты памяти, 3G, 4G LTE, Wi-Fi,...",/images/product/79920/1591125555_97466400.jpg,19870 сом
Сотовый телефон Xiaomi Mi 11 Lite 8/128GB черный,"экран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon...",/images/product/94768/1624905071_41544500.jpg,28020 сом
Сотовый телефон Xiaomi Redmi Note 10 5G 4/128GB серебристый,"экран: 6.5"" (2400x1080), оперативная память: 4 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 48 МП, 2 МП, 2 МП, аккумулятор: 5000 мА·ч, процессор: MediaTek MT6833 Dimensity 700...",/images/product/95280/1626114623_26835500.jpg,18930 сом
Сотовый телефон Apple iPhone 11 64GB желтый,"смартфон с iOS 13, поддержка двух SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 1792x828, двойная камера 12 МП/12 МП, автофокус, память 64 Гб, без слота для карт памяти, 3G, 4G LTE,...",/images/product/72497/72497.jpg,55520 сом
